"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 19:07:35 GMT 2022","Sun Jun 26 19:07:37 GMT 2022","2389","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 19:07:22 GMT 2022","Sun Jun 26 19:07:24 GMT 2022","2071","test","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Sun Jun 26 19:08:32 GMT 2022","Sun Jun 26 19:08:57 GMT 2022","25056","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 19:07:45 GMT 2022","Sun Jun 26 19:07:48 GMT 2022","2398","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 19:07:39 GMT 2022","Sun Jun 26 19:07:43 GMT 2022","4368","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 19:07:31 GMT 2022","Sun Jun 26 19:07:33 GMT 2022","2315","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 19:08:59 GMT 2022","Sun Jun 26 19:09:03 GMT 2022","3586","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 19:08:25 GMT 2022","Sun Jun 26 19:08:30 GMT 2022","5588","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 19:07:49 GMT 2022","Sun Jun 26 19:07:56 GMT 2022","6615","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 19:07:25 GMT 2022","Sun Jun 26 19:07:29 GMT 2022","3505","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 19:07:58 GMT 2022","Sun Jun 26 19:08:23 GMT 2022","25211","test","test_conduit","TestConduit","","","test_post_new_articles",""
