"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 26 17:29:12 GMT 2022","Sun Jun 26 17:29:18 GMT 2022","5524","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 17:28:13 GMT 2022","Sun Jun 26 17:28:15 GMT 2022","2353","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 17:29:05 GMT 2022","Sun Jun 26 17:29:11 GMT 2022","5562","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 17:28:00 GMT 2022","Sun Jun 26 17:28:02 GMT 2022","2062","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 17:28:27 GMT 2022","Sun Jun 26 17:28:34 GMT 2022","6548","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 17:28:09 GMT 2022","Sun Jun 26 17:28:11 GMT 2022","2313","test","test_conduit","TestConduit","","","test_login",""
"failed","Sun Jun 26 17:28:35 GMT 2022","Sun Jun 26 17:29:03 GMT 2022","27856","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 17:28:17 GMT 2022","Sun Jun 26 17:28:21 GMT 2022","4352","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 17:28:04 GMT 2022","Sun Jun 26 17:28:07 GMT 2022","3434","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 17:28:23 GMT 2022","Sun Jun 26 17:28:25 GMT 2022","2386","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 17:29:20 GMT 2022","Sun Jun 26 17:29:23 GMT 2022","3407","test","test_conduit","TestConduit","","","test_saving_data",""
