"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 20:16:00 GMT 2022","Sun Jun 26 20:16:04 GMT 2022","4392","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 20:15:46 GMT 2022","Sun Jun 26 20:15:50 GMT 2022","3422","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 20:15:42 GMT 2022","Sun Jun 26 20:15:45 GMT 2022","2072","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 20:16:10 GMT 2022","Sun Jun 26 20:16:17 GMT 2022","6626","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 20:15:51 GMT 2022","Sun Jun 26 20:15:54 GMT 2022","2340","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 20:15:56 GMT 2022","Sun Jun 26 20:15:58 GMT 2022","2395","test","test_conduit","TestConduit","","","test_logout",""
"failed","Sun Jun 26 20:16:19 GMT 2022","Sun Jun 26 20:16:44 GMT 2022","25238","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 20:16:06 GMT 2022","Sun Jun 26 20:16:08 GMT 2022","2438","test","test_conduit","TestConduit","","","test_list_navigation",""
"broken","Sun Jun 26 20:16:53 GMT 2022","Sun Jun 26 20:17:57 GMT 2022","63786","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 20:17:59 GMT 2022","Sun Jun 26 20:18:02 GMT 2022","3443","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 20:16:46 GMT 2022","Sun Jun 26 20:16:51 GMT 2022","5570","test","test_conduit","TestConduit","","","test_change_data",""
