"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 19:40:46 GMT 2022","Sun Jun 26 19:40:51 GMT 2022","5452","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 19:40:02 GMT 2022","Sun Jun 26 19:40:06 GMT 2022","4291","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 19:41:29 GMT 2022","Sun Jun 26 19:41:32 GMT 2022","3358","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 19:40:20 GMT 2022","Sun Jun 26 19:40:44 GMT 2022","24132","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 19:39:45 GMT 2022","Sun Jun 26 19:39:47 GMT 2022","2055","test","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Sun Jun 26 19:40:53 GMT 2022","Sun Jun 26 19:41:27 GMT 2022","33550","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 19:40:12 GMT 2022","Sun Jun 26 19:40:18 GMT 2022","6447","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 19:39:54 GMT 2022","Sun Jun 26 19:39:56 GMT 2022","2248","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 19:39:58 GMT 2022","Sun Jun 26 19:40:00 GMT 2022","2300","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 19:39:49 GMT 2022","Sun Jun 26 19:39:52 GMT 2022","3317","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 19:40:08 GMT 2022","Sun Jun 26 19:40:10 GMT 2022","2325","test","test_conduit","TestConduit","","","test_list_navigation",""
