"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 14:32:57 GMT 2022","Sun Jun 26 14:32:59 GMT 2022","2430","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 14:33:01 GMT 2022","Sun Jun 26 14:33:08 GMT 2022","6581","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 14:32:51 GMT 2022","Sun Jun 26 14:32:55 GMT 2022","4360","test","test_conduit","TestConduit","","","test_listing_data",""
"broken","Sun Jun 26 14:33:44 GMT 2022","Sun Jun 26 14:33:50 GMT 2022","5547","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 14:33:52 GMT 2022","Sun Jun 26 14:33:55 GMT 2022","3417","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 14:32:46 GMT 2022","Sun Jun 26 14:32:49 GMT 2022","2384","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 14:33:37 GMT 2022","Sun Jun 26 14:33:43 GMT 2022","5549","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 14:32:42 GMT 2022","Sun Jun 26 14:32:44 GMT 2022","2301","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 14:32:37 GMT 2022","Sun Jun 26 14:32:40 GMT 2022","3557","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 14:32:33 GMT 2022","Sun Jun 26 14:32:35 GMT 2022","2142","test","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Sun Jun 26 14:33:10 GMT 2022","Sun Jun 26 14:33:35 GMT 2022","25544","test","test_conduit","TestConduit","","","test_post_new_articles",""
