"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 14:46:02 GMT 2022","Mon Jun 27 14:46:07 GMT 2022","4278","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Mon Jun 27 14:45:52 GMT 2022","Mon Jun 27 14:46:01 GMT 2022","8442","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Mon Jun 27 14:44:55 GMT 2022","Mon Jun 27 14:44:57 GMT 2022","2276","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 27 14:45:03 GMT 2022","Mon Jun 27 14:45:09 GMT 2022","6452","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Mon Jun 27 14:44:59 GMT 2022","Mon Jun 27 14:45:01 GMT 2022","2307","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Mon Jun 27 14:45:11 GMT 2022","Mon Jun 27 14:45:35 GMT 2022","23854","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Mon Jun 27 14:45:37 GMT 2022","Mon Jun 27 14:45:42 GMT 2022","5415","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Mon Jun 27 14:45:44 GMT 2022","Mon Jun 27 14:45:50 GMT 2022","6552","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Mon Jun 27 14:44:42 GMT 2022","Mon Jun 27 14:44:44 GMT 2022","2052","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Mon Jun 27 14:44:51 GMT 2022","Mon Jun 27 14:44:53 GMT 2022","2240","test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 27 14:44:46 GMT 2022","Mon Jun 27 14:44:49 GMT 2022","3294","test","test_conduit","TestConduit","","","test_registration",""
