"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 17:51:17 GMT 2022","Sun Jun 26 17:51:19 GMT 2022","2321","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 17:51:29 GMT 2022","Sun Jun 26 17:51:53 GMT 2022","24145","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 17:51:07 GMT 2022","Sun Jun 26 17:51:10 GMT 2022","2309","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 17:51:03 GMT 2022","Sun Jun 26 17:51:06 GMT 2022","2251","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 17:52:09 GMT 2022","Sun Jun 26 17:52:13 GMT 2022","3347","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 17:51:11 GMT 2022","Sun Jun 26 17:51:16 GMT 2022","4285","test","test_conduit","TestConduit","","","test_listing_data",""
"broken","Sun Jun 26 17:52:02 GMT 2022","Sun Jun 26 17:52:07 GMT 2022","5445","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 17:51:55 GMT 2022","Sun Jun 26 17:52:00 GMT 2022","5436","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 17:50:58 GMT 2022","Sun Jun 26 17:51:02 GMT 2022","3488","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 17:50:54 GMT 2022","Sun Jun 26 17:50:56 GMT 2022","2127","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 17:51:21 GMT 2022","Sun Jun 26 17:51:28 GMT 2022","6464","test","test_conduit","TestConduit","","","test_add_comment",""
