"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 11:35:38 GMT 2022","Wed Jun 29 11:35:44 GMT 2022","6322","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 29 11:35:34 GMT 2022","Wed Jun 29 11:35:36 GMT 2022","2053","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Jun 29 11:35:50 GMT 2022","Wed Jun 29 11:35:52 GMT 2022","2290","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 29 11:36:25 GMT 2022","Wed Jun 29 11:36:32 GMT 2022","6626","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Wed Jun 29 11:35:46 GMT 2022","Wed Jun 29 11:35:48 GMT 2022","2255","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 29 11:36:51 GMT 2022","Wed Jun 29 11:36:56 GMT 2022","5441","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Wed Jun 29 11:36:34 GMT 2022","Wed Jun 29 11:36:42 GMT 2022","8482","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Wed Jun 29 11:36:06 GMT 2022","Wed Jun 29 11:36:24 GMT 2022","17385","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Wed Jun 29 11:35:58 GMT 2022","Wed Jun 29 11:36:05 GMT 2022","6432","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Wed Jun 29 11:35:54 GMT 2022","Wed Jun 29 11:35:57 GMT 2022","2327","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Wed Jun 29 11:36:45 GMT 2022","Wed Jun 29 11:36:49 GMT 2022","4281","test","test_conduit","TestConduit","","","test_listing_data",""
