"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 21 10:09:01 GMT 2022","Thu Jul 21 10:09:04 GMT 2022","2361","test","test_conduit","TestConduit","","","test_logout",""
"passed","Thu Jul 21 10:09:47 GMT 2022","Thu Jul 21 10:09:55 GMT 2022","8406","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Thu Jul 21 10:08:49 GMT 2022","Thu Jul 21 10:08:55 GMT 2022","6497","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Jul 21 10:09:38 GMT 2022","Thu Jul 21 10:09:45 GMT 2022","6718","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Thu Jul 21 10:08:57 GMT 2022","Thu Jul 21 10:08:59 GMT 2022","2294","test","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jul 21 10:09:57 GMT 2022","Thu Jul 21 10:10:01 GMT 2022","4347","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Thu Jul 21 10:08:45 GMT 2022","Thu Jul 21 10:08:47 GMT 2022","2105","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Jul 21 10:09:10 GMT 2022","Thu Jul 21 10:09:16 GMT 2022","6559","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Thu Jul 21 10:09:18 GMT 2022","Thu Jul 21 10:09:36 GMT 2022","17914","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Thu Jul 21 10:10:03 GMT 2022","Thu Jul 21 10:10:09 GMT 2022","5552","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Thu Jul 21 10:09:06 GMT 2022","Thu Jul 21 10:09:08 GMT 2022","2384","test","test_conduit","TestConduit","","","test_list_navigation",""
