"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 22:51:10 GMT 2022","Sun Jun 26 22:51:12 GMT 2022","2055","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 22:52:30 GMT 2022","Sun Jun 26 22:52:33 GMT 2022","3451","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 22:52:14 GMT 2022","Sun Jun 26 22:52:20 GMT 2022","5457","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 22:51:14 GMT 2022","Sun Jun 26 22:51:17 GMT 2022","3321","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 22:51:37 GMT 2022","Sun Jun 26 22:51:43 GMT 2022","6457","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 22:51:45 GMT 2022","Sun Jun 26 22:52:13 GMT 2022","27514","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 22:51:19 GMT 2022","Sun Jun 26 22:51:21 GMT 2022","2257","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 22:51:27 GMT 2022","Sun Jun 26 22:51:31 GMT 2022","4296","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 22:51:23 GMT 2022","Sun Jun 26 22:51:25 GMT 2022","2307","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 22:52:22 GMT 2022","Sun Jun 26 22:52:28 GMT 2022","6642","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 22:51:33 GMT 2022","Sun Jun 26 22:51:35 GMT 2022","2322","test","test_conduit","TestConduit","","","test_list_navigation",""
