"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 23:44:29 GMT 2022","Sun Jun 26 23:44:34 GMT 2022","5418","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 23:44:36 GMT 2022","Sun Jun 26 23:44:43 GMT 2022","6569","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 23:43:46 GMT 2022","Sun Jun 26 23:43:50 GMT 2022","4267","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 23:43:28 GMT 2022","Sun Jun 26 23:43:30 GMT 2022","2051","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 23:43:38 GMT 2022","Sun Jun 26 23:43:40 GMT 2022","2241","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 23:44:44 GMT 2022","Sun Jun 26 23:44:48 GMT 2022","3431","test","test_conduit","TestConduit","","","test_saving_data",""
"failed","Sun Jun 26 23:44:03 GMT 2022","Sun Jun 26 23:44:27 GMT 2022","23815","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 23:43:55 GMT 2022","Sun Jun 26 23:44:02 GMT 2022","6412","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 23:43:51 GMT 2022","Sun Jun 26 23:43:54 GMT 2022","2303","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 23:43:33 GMT 2022","Sun Jun 26 23:43:36 GMT 2022","3291","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 23:43:42 GMT 2022","Sun Jun 26 23:43:44 GMT 2022","2284","test","test_conduit","TestConduit","","","test_logout",""
