"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 19:44:52 GMT 2022","Sun Jun 26 19:44:56 GMT 2022","3328","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 19:44:58 GMT 2022","Sun Jun 26 19:45:00 GMT 2022","2245","test","test_conduit","TestConduit","","","test_login",""
"broken","Sun Jun 26 19:45:57 GMT 2022","Sun Jun 26 19:46:31 GMT 2022","34510","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 19:45:12 GMT 2022","Sun Jun 26 19:45:14 GMT 2022","2317","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 19:45:24 GMT 2022","Sun Jun 26 19:45:48 GMT 2022","24007","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 19:45:06 GMT 2022","Sun Jun 26 19:45:10 GMT 2022","4279","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 19:45:50 GMT 2022","Sun Jun 26 19:45:55 GMT 2022","5455","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 19:46:33 GMT 2022","Sun Jun 26 19:46:36 GMT 2022","3322","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 19:45:02 GMT 2022","Sun Jun 26 19:45:04 GMT 2022","2275","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 19:44:49 GMT 2022","Sun Jun 26 19:44:51 GMT 2022","2070","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 19:45:16 GMT 2022","Sun Jun 26 19:45:22 GMT 2022","6408","test","test_conduit","TestConduit","","","test_add_comment",""
