"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 18:13:50 GMT 2022","Sun Jun 26 18:13:55 GMT 2022","4225","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 18:14:48 GMT 2022","Sun Jun 26 18:14:51 GMT 2022","3353","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 18:14:34 GMT 2022","Sun Jun 26 18:14:39 GMT 2022","5360","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 18:13:56 GMT 2022","Sun Jun 26 18:13:59 GMT 2022","2287","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 18:13:42 GMT 2022","Sun Jun 26 18:13:44 GMT 2022","2192","test","test_conduit","TestConduit","","","test_login",""
"broken","Sun Jun 26 18:14:41 GMT 2022","Sun Jun 26 18:14:46 GMT 2022","5341","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 18:13:33 GMT 2022","Sun Jun 26 18:13:35 GMT 2022","2128","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 18:13:36 GMT 2022","Sun Jun 26 18:13:40 GMT 2022","3481","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 18:14:00 GMT 2022","Sun Jun 26 18:14:07 GMT 2022","6391","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 18:13:46 GMT 2022","Sun Jun 26 18:13:49 GMT 2022","2287","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 18:14:09 GMT 2022","Sun Jun 26 18:14:32 GMT 2022","23485","test","test_conduit","TestConduit","","","test_post_new_articles",""
