"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 15:31:48 GMT 2022","Sun Jun 26 15:31:51 GMT 2022","2242","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 15:31:56 GMT 2022","Sun Jun 26 15:32:01 GMT 2022","4277","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 15:31:43 GMT 2022","Sun Jun 26 15:31:47 GMT 2022","3299","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 15:31:40 GMT 2022","Sun Jun 26 15:31:42 GMT 2022","2054","test","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Sun Jun 26 15:32:50 GMT 2022","Sun Jun 26 15:32:56 GMT 2022","5404","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 15:32:43 GMT 2022","Sun Jun 26 15:32:49 GMT 2022","5412","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 15:31:52 GMT 2022","Sun Jun 26 15:31:55 GMT 2022","2283","test","test_conduit","TestConduit","","","test_logout",""
"failed","Sun Jun 26 15:32:15 GMT 2022","Sun Jun 26 15:32:41 GMT 2022","26717","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 15:32:02 GMT 2022","Sun Jun 26 15:32:05 GMT 2022","2305","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 15:32:07 GMT 2022","Sun Jun 26 15:32:13 GMT 2022","6422","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 15:32:57 GMT 2022","Sun Jun 26 15:33:01 GMT 2022","3322","test","test_conduit","TestConduit","","","test_saving_data",""
