"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 16:53:53 GMT 2022","Mon Jun 27 16:53:55 GMT 2022","2323","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 27 16:54:45 GMT 2022","Mon Jun 27 16:54:54 GMT 2022","8340","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Mon Jun 27 16:53:40 GMT 2022","Mon Jun 27 16:53:42 GMT 2022","2061","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Mon Jun 27 16:53:49 GMT 2022","Mon Jun 27 16:53:51 GMT 2022","2268","test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 27 16:54:01 GMT 2022","Mon Jun 27 16:54:07 GMT 2022","6476","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Mon Jun 27 16:53:57 GMT 2022","Mon Jun 27 16:53:59 GMT 2022","2362","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Mon Jun 27 16:53:44 GMT 2022","Mon Jun 27 16:53:47 GMT 2022","3386","test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Jun 27 16:54:55 GMT 2022","Mon Jun 27 16:55:00 GMT 2022","4311","test","test_conduit","TestConduit","","","test_listing_data",""
"failed","Mon Jun 27 16:54:09 GMT 2022","Mon Jun 27 16:54:35 GMT 2022","26332","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Mon Jun 27 16:54:37 GMT 2022","Mon Jun 27 16:54:44 GMT 2022","6640","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Mon Jun 27 16:55:01 GMT 2022","Mon Jun 27 16:55:07 GMT 2022","5487","test","test_conduit","TestConduit","","","test_change_data",""
