"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 14:39:54 GMT 2022","Sun Jun 26 14:39:57 GMT 2022","2415","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 14:40:51 GMT 2022","Sun Jun 26 14:40:54 GMT 2022","3429","test","test_conduit","TestConduit","","","test_saving_data",""
"broken","Sun Jun 26 14:40:07 GMT 2022","Sun Jun 26 14:40:34 GMT 2022","27587","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Sun Jun 26 14:40:36 GMT 2022","Sun Jun 26 14:40:42 GMT 2022","5625","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 14:39:48 GMT 2022","Sun Jun 26 14:39:52 GMT 2022","4347","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 14:39:58 GMT 2022","Sun Jun 26 14:40:05 GMT 2022","6615","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 14:39:34 GMT 2022","Sun Jun 26 14:39:38 GMT 2022","3606","test","test_conduit","TestConduit","","","test_registration",""
"broken","Sun Jun 26 14:40:43 GMT 2022","Sun Jun 26 14:40:49 GMT 2022","5544","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Sun Jun 26 14:39:39 GMT 2022","Sun Jun 26 14:39:42 GMT 2022","2336","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 14:39:30 GMT 2022","Sun Jun 26 14:39:32 GMT 2022","2197","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 14:39:44 GMT 2022","Sun Jun 26 14:39:46 GMT 2022","2363","test","test_conduit","TestConduit","","","test_logout",""
