"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 19:02:47 GMT 2022","Sun Jun 26 19:02:49 GMT 2022","2333","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Sun Jun 26 19:02:37 GMT 2022","Sun Jun 26 19:02:39 GMT 2022","2314","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sun Jun 26 19:02:24 GMT 2022","Sun Jun 26 19:02:26 GMT 2022","2111","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Jun 26 19:03:24 GMT 2022","Sun Jun 26 19:03:30 GMT 2022","5446","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Sun Jun 26 19:02:41 GMT 2022","Sun Jun 26 19:02:45 GMT 2022","4298","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Sun Jun 26 19:02:28 GMT 2022","Sun Jun 26 19:02:31 GMT 2022","3350","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Jun 26 19:03:41 GMT 2022","Sun Jun 26 19:03:44 GMT 2022","3339","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Sun Jun 26 19:02:51 GMT 2022","Sun Jun 26 19:02:57 GMT 2022","6445","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Sun Jun 26 19:02:33 GMT 2022","Sun Jun 26 19:02:35 GMT 2022","2253","test","test_conduit","TestConduit","","","test_login",""
"passed","Sun Jun 26 19:02:59 GMT 2022","Sun Jun 26 19:03:23 GMT 2022","24110","test","test_conduit","TestConduit","","","test_post_new_articles",""
"broken","Sun Jun 26 19:03:32 GMT 2022","Sun Jun 26 19:03:39 GMT 2022","7530","test","test_conduit","TestConduit","","","test_deleting_data",""
