"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 21 10:09:36 GMT 2022","Thu Jul 21 10:09:42 GMT 2022","6426","test","test_conduit","TestConduit","","","test_add_comment",""
"passed","Thu Jul 21 10:10:11 GMT 2022","Thu Jul 21 10:10:19 GMT 2022","8343","test","test_conduit","TestConduit","","","test_saving_data",""
"passed","Thu Jul 21 10:10:21 GMT 2022","Thu Jul 21 10:10:25 GMT 2022","4286","test","test_conduit","TestConduit","","","test_listing_data",""
"passed","Thu Jul 21 10:09:24 GMT 2022","Thu Jul 21 10:09:26 GMT 2022","2289","test","test_conduit","TestConduit","","","test_login",""
"passed","Thu Jul 21 10:09:32 GMT 2022","Thu Jul 21 10:09:34 GMT 2022","2328","test","test_conduit","TestConduit","","","test_list_navigation",""
"passed","Thu Jul 21 10:09:16 GMT 2022","Thu Jul 21 10:09:22 GMT 2022","6565","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Jul 21 10:09:12 GMT 2022","Thu Jul 21 10:09:14 GMT 2022","2131","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Jul 21 10:10:27 GMT 2022","Thu Jul 21 10:10:32 GMT 2022","5433","test","test_conduit","TestConduit","","","test_change_data",""
"passed","Thu Jul 21 10:10:03 GMT 2022","Thu Jul 21 10:10:09 GMT 2022","6617","test","test_conduit","TestConduit","","","test_deleting_data",""
"passed","Thu Jul 21 10:09:44 GMT 2022","Thu Jul 21 10:10:01 GMT 2022","16879","test","test_conduit","TestConduit","","","test_post_new_articles",""
"passed","Thu Jul 21 10:09:28 GMT 2022","Thu Jul 21 10:09:30 GMT 2022","2355","test","test_conduit","TestConduit","","","test_logout",""
